Age,Experience,Salary,Performance_Score,Work_Life_Balance,Department,Education_Level,Gender,Marital_Status,Job_Role
38,16,51565,1,4,HR,Bachelor,Female,Married,Manager
34,8,68154,2,5,HR,PhD,Female,Single,Clerk
39,17,53322,3,3,Engineering,High School,Female,Married,Engineer
45,23,56194,4,1,HR,Bachelor,Male,Married,Manager
33,10,34832,3,2,HR,Bachelor,Male,Single,Clerk
33,12,32410,4,5,Sales,High School,Female,Single,Executive
46,21,79661,3,4,Engineering,Bachelor,Male,Married,Engineer
40,18,55425,1,3,Marketing,Bachelor,Female,Married,Analyst
31,9,46026,4,5,Sales,Bachelor,Female,Married,Manager
38,16,47987,4,2,Marketing,Bachelor,Male,Married,Manager
31,10,46369,2,2,HR,Master,Male,Single,Clerk
31,5,45907,2,3,Finance,Bachelor,Male,Single,Analyst
36,12,30930,3,3,Marketing,High School,Female,Divorced,Executive
22,0,46898,3,3,Engineering,Master,Male,Divorced,Engineer
22,1,33466,4,4,Finance,High School,Male,Divorced,Analyst
31,5,43406,3,2,Sales,Master,Male,Divorced,Manager
27,5,38225,4,4,HR,Master,Female,Divorced,Clerk
37,11,52714,4,3,Sales,Bachelor,Female,Divorced,Executive
28,7,44129,4,5,Finance,Master,Female,Married,Clerk
25,4,49888,3,4,Engineering,Master,Male,Single,Engineer
45,24,82067,4,3,Finance,Master,Female,Divorced,Analyst
33,9,42273,4,2,HR,Bachelor,Male,Married,Clerk
35,10,33281,4,5,HR,Bachelor,Male,Divorced,Clerk
25,2,42301,4,1,HR,Master,Male,Single,Manager
31,7,30000,2,2,HR,High School,Male,Married,Clerk
35,11,51728,3,1,Sales,Bachelor,Female,Divorced,Executive
26,1,41474,3,5,Finance,Bachelor,Female,Single,Analyst
37,13,59243,2,4,Engineering,Bachelor,Male,Married,Engineer
30,9,39232,4,5,HR,Bachelor,Female,Married,Clerk
32,11,51709,3,4,Marketing,Master,Male,Single,Executive
30,4,55649,3,1,Engineering,Master,Male,Single,Engineer
47,25,49135,3,5,Marketing,High School,Male,Married,Executive
34,10,83441,3,3,Finance,PhD,Male,Single,Clerk
27,5,39495,1,3,HR,Master,Male,Married,Clerk
40,17,47369,2,2,Finance,High School,Female,Married,Analyst
26,5,47429,4,2,Finance,Bachelor,Female,Single,Manager
36,10,56066,3,4,Marketing,Master,Female,Married,Executive
22,0,34581,2,2,Finance,Bachelor,Male,Single,Manager
